,code,concatsize,organic,name,RRP,brand,j,price,,,barcode,case size,unit size,unit,
1,6710,6x500g,,Chia Seeds,2.39,Infinity Foods,,10.75,,0,5028869067106,6,500,g,
1,6828,12x125g,,Macadamia Nuts - raw,3.97,Infinity Foods,,35.7,,0,5028869068288,12,125,g,
1,6829,6x250g,,Macadamia Nuts - raw,7.62,Infinity Foods,,34.15,,0,5028869068295,6,250,g,
1,6830,12x125g,,Pecans Halves,3.27,Infinity Foods,,29.4,,0,5028869068301,12,125,g,
1,6835,12x250g,,Pecans Halves,6.03,Infinity Foods,,54.25,,0,5028869068356,12,250,g,
1,6840,6x500g,,Pecans Halves,11.71,Infinity Foods,,52.7,,0,5028869068400,6,500,g,
1,6860,12x125g,,Pistachios - roasted & salted,2.47,Infinity Foods,,22.2,,0,5028869068608,12,125,g,
1,6865,12x250g,,Pistachios - roasted & salted,4.43,Infinity Foods,,39.85,,0,5028869068653,12,250,g,
1,6870,6x500g,,Pistachios - roasted & salted,8.51,Infinity Foods,,38.3,,0,5028869068707,6,500,g,
1,6875,12x125g,,Raw Pistachio Kernels,3.68,Infinity Foods,,33.1,,0,5028869068752,12,125,g,
1,6877,6x250g,,Raw Pistachio Kernels,7.02,Infinity Foods,,31.55,,0,5028869068776,6,250,g,
1,6880,12x125g,,Pumpkin Seeds - AA grade,1.1,Infinity Foods,,9.85,,0,5028869068806,12,125,g,
1,6885,12x250g,,Pumpkin Seeds - AA grade,1.69,Infinity Foods,,15.15,,0,5028869068851,12,250,g,
1,6890,12x500g,,Pumpkin Seeds - AA grade,2.85,Infinity Foods,,25.65,,0,5028869068905,12,500,g,
1,6915,12x250g,,Sunflower Seeds,0.98,Infinity Foods,,8.8,,0,5028869069155,12,250,g,
1,6920,12x500g,,Sunflower Seeds,1.44,Infinity Foods,,13,,0,5028869069209,12,500,g,
1,7005,12x125g,organic,Apple Rings,2.35,Infinity Foods,,21.15,,0,5028869070052,12,125,g,
1,7010,12x250g,organic,Apricots Whole,1.88,Infinity Foods,,16.95,,0,5028869070106,12,250,g,
1,7015,12x500g,organic,Apricots Whole,3.23,Infinity Foods,,29.05,,0,5028869070151,12,500,g,
1,7016,12x125g,organic,Sour Cherries - pitted,2.31,Infinity Foods,,20.8,,0,5028869070168,12,125,g,
1,7017,12x125g,organic,Cranberries with Apple Juice,2.4,Infinity Foods,,21.6,,0,5028869070175,12,125,g,
1,7018,6x250g,organic,Cranberries with Apple Juice,4.65,Infinity Foods,,20.9,,0,5028869070182,6,250,g,
1,7019,6x250g,organic,Sour Cherries - pitted,4.44,Infinity Foods,,20,,0,5028869070199,6,250,g,
